kolejka,gospodarz,gosc,gole_gosp,gole_gosc,wynik_1x2,lambda_home,lambda_away,p_home,p_draw,p_away,log_loss
1,Jagiellonia Białystok,Bruk-Bet Termalica Nieciecza,0,4,A,2.1568516652842513,0.8374992460222389,0.6762226475710624,0.19056493297834945,0.13321241945058793,2.0158102861038167
1,Lech Poznań,Cracovia,1,4,A,1.627388705692587,0.963384982017543,0.5292005125154158,0.24741610121599641,0.22338338626858795,1.4988657627552942
1,Widzew Łódź,Zagłębie Lubin,1,0,H,1.4337006259521992,1.0561638456435485,0.45716335849988193,0.2648168221702087,0.27801981932990955,0.7827144935367247
1,Wisła Płock,Korona Kielce,2,0,H,1.0556340298995068,1.098772805880533,0.3415951168612443,0.29490353074568804,0.3635013523930678,1.074129112072576
1,GKS Katowice,Raków Częstochowa,0,1,A,1.0897057893495676,1.254810505622335,0.3199676662243033,0.2792647415726876,0.400767592203009,0.9143735902575719
1,Górnik Zabrze,Lechia Gdańsk,2,1,H,1.7385326761212663,1.0600171000348229,0.5326798742209876,0.23673677124077558,0.23058335453823664,0.6298346464731219
1,Motor Lublin,Arka Gdynia,1,0,H,1.6876719419869959,0.9673600271239662,0.5429524823016112,0.24132879682181196,0.21571872087657668,0.6107334724508477
1,Legia Warszawa,Piast Gliwice,0,1,A,1.6213446878005147,0.9534752416652998,0.5301466768196751,0.24804566623611662,0.22180765694420826,1.5059446828213015
1,Radomiak Radom,Pogoń Szczecin,5,1,H,1.214228904568216,1.4741452642606259,0.31201756172331246,0.25628745211626375,0.4316949861604237,1.1646958051820213
2,Arka Gdynia,Radomiak Radom,1,1,D,1.131670425021139,1.1117529768169776,0.36101397744862335,0.28791594323545855,0.35107007931591816,1.245086705212478
2,Lechia Gdańsk,Lech Poznań,3,4,A,1.199504467595001,1.6022047924837302,0.28582836994816163,0.24695562863994414,0.4672160014118942,0.7609635984572476
2,Pogoń Szczecin,Motor Lublin,4,1,H,1.9435687572044382,1.0909812917352415,0.5720120624025522,0.2187256250570302,0.2092623125404176,0.5585951997083404
2,Korona Kielce,Legia Warszawa,0,2,A,1.22833821324775,1.4174264839566195,0.3261688851696434,0.2598694238457541,0.4139616909846025,0.8819818432919609
2,Cracovia,Bruk-Bet Termalica Nieciecza,2,0,H,1.3442719964695313,1.0337685854054919,0.43832581172598034,0.27391763845258094,0.2877565498214388,0.8247927827461099
2,GKS Katowice,Zagłębie Lubin,2,2,D,1.5649876585150353,1.1092941284405298,0.47863277791487063,0.2518119644378979,0.2695552576472315,1.3790726428617317
2,Raków Częstochowa,Wisła Płock,1,2,A,1.303127826200783,0.7368325471849914,0.5007008196853033,0.2882595531512684,0.21103962716342836,1.5557093566777505
2,Jagiellonia Białystok,Widzew Łódź,3,2,H,2.0498333757389613,0.9925296463021515,0.617889603870714,0.20691413068689848,0.17519626544238742,0.48144547199489907
2,Piast Gliwice,Górnik Zabrze,0,1,A,1.1546697044660152,0.9866172712894008,0.39538719568991737,0.2946757118246268,0.30993709248545565,1.1713859295617814
3,Wisła Płock,Piast Gliwice,2,0,H,1.238817052688005,0.8840707067417409,0.44442789084778817,0.29133507472608866,0.26423703442612334,0.8109674625024397
3,Bruk-Bet Termalica Nieciecza,Pogoń Szczecin,1,1,D,1.1268113133327735,1.407629808507318,0.30135160201628747,0.2646964996992626,0.4339518982844498,1.3291713934887148
3,Legia Warszawa,Arka Gdynia,0,0,D,1.9034689694653417,0.8062978473746916,0.632575356510857,0.21525733455538398,0.15216730893375924,1.5359210616653498
3,Motor Lublin,Jagiellonia Białystok,1,1,D,1.5471185810082213,1.7530417059350833,0.34218020219305995,0.22902119228948906,0.4287986055174511,1.4739407369608528
3,Zagłębie Lubin,Korona Kielce,1,1,D,1.2215919920796576,1.0866786964544528,0.39211577192954755,0.28226044444526616,0.3256237836251863,1.2649250724022272
3,Radomiak Radom,Raków Częstochowa,3,1,H,1.0081240651246055,1.2364638006234892,0.3004497499640711,0.2853979803880821,0.41415226964784657,1.2024747604073356
3,Cracovia,Lechia Gdańsk,2,2,D,1.8322745235000786,1.1308049855840585,0.5377977352262694,0.22870572060080915,0.23349654417292154,1.475319164707822
3,Lech Poznań,Górnik Zabrze,2,1,H,1.5727669280870067,0.951625299260893,0.5184332053970995,0.253066467490629,0.22850032711227147,0.6569440823744697
3,Widzew Łódź,GKS Katowice,3,0,H,1.4748826326450664,1.172902612250968,0.4410994287396609,0.25763560631311544,0.30126496494722377,0.818484966953331
4,Arka Gdynia,Pogoń Szczecin,2,1,H,0.9145120951173293,1.451690599642234,0.23740157791291172,0.26639273123326357,0.4962056908538245,1.438002150186233
4,Legia Warszawa,GKS Katowice,3,1,H,2.1127074633536123,1.0980189402642817,0.6061328153507353,0.20436079912459865,0.18950638552466614,0.500656149681017
4,Lechia Gdańsk,Motor Lublin,3,3,D,1.6184967692920986,1.6360446836819154,0.3802581685421761,0.23204416190620164,0.3876976695516225,1.4608275723866964
4,Górnik Zabrze,Bruk-Bet Termalica Nieciecza,0,1,A,1.379795519169602,1.0032147411998844,0.4552294231202826,0.2716202024697418,0.2731503744099757,1.2977328134293757
4,Korona Kielce,Radomiak Radom,3,0,H,1.3265336552514513,1.0793780753862574,0.4229296810655772,0.27358383248492424,0.3034864864494984,0.860549352370686
4,Raków Częstochowa,Zagłębie Lubin,0,1,A,1.5861455033371596,0.768249534670157,0.5685746681693968,0.25105735561988285,0.18036797621072026,1.7127562025729874
4,Jagiellonia Białystok,Cracovia,5,2,H,1.8553441457745674,1.1780854652758928,0.5321109533516232,0.22696250167910137,0.24092654496927546,0.6309032524542607
4,Piast Gliwice,Lech Poznań,1,0,H,0.9751503100905606,1.0786862924244207,0.3216739529964595,0.3030411635987063,0.3752848834048341,1.1342168147653442
4,Widzew Łódź,Wisła Płock,1,1,D,1.1421083894019017,1.2106556677195937,0.34339085571747807,0.27968841815797507,0.3769207261245468,1.274079087718887
5,Wisła Płock,Legia Warszawa,1,0,H,1.3509310056498154,1.2715520408640733,0.387348543226122,0.26234702391671016,0.35030443285716784,0.9484303627835785
5,Bruk-Bet Termalica Nieciecza,Raków Częstochowa,2,3,A,0.990619361416751,1.1334161955165791,0.3153106614962567,0.29649756435456553,0.38819177414917777,0.9462557981956435
5,Motor Lublin,Piast Gliwice,0,0,D,1.3192938814324133,1.1079418021716678,0.41447638783249835,0.2728757266344052,0.31264788553309664,1.2987388012318175
5,Zagłębie Lubin,Lechia Gdańsk,6,2,H,1.6153580068932556,1.2650356189469292,0.4558121113720956,0.24450595926024576,0.2996819293676586,0.7856745908428027
5,Radomiak Radom,Jagiellonia Białystok,1,2,A,1.429685252134162,1.6627800978941238,0.33097237433096305,0.2371359558635935,0.43189166980544347,0.8395804865239122
5,Pogoń Szczecin,Górnik Zabrze,0,3,A,1.649681986981211,1.0264161468643114,0.5193380860842866,0.2450540172706532,0.23560789664506013,1.4455863105972075
5,Cracovia,Widzew Łódź,1,0,H,1.5427387524491003,1.0174180118781628,0.49475107427993714,0.25538974067594694,0.24985918504411583,0.7037005231426741
5,GKS Katowice,Arka Gdynia,4,1,H,1.4932933316430876,0.8690352225480694,0.5186443234294242,0.2623161792843066,0.219039497286269,0.6565369420607075
5,Lech Poznań,Korona Kielce,1,1,D,1.6238773826449868,0.8512485073494656,0.5564605245419225,0.24741865071379107,0.19612082474428655,1.3966734349864947
6,Wisła Płock,Zagłębie Lubin,2,1,H,1.433021494756018,0.934436116318021,0.48627870278699303,0.2680297754203483,0.24569152179265877,0.7209733569237641
6,Legia Warszawa,Jagiellonia Białystok,0,0,D,1.8496157530422748,1.4625847938513734,0.46820132630806727,0.22549133901235732,0.3063073346795756,1.4894735287044694
6,Lechia Gdańsk,Arka Gdynia,1,0,H,1.7124972364625144,0.9606851751195506,0.5505529295460795,0.2387923491346431,0.21065472131927765,0.5968321793104031
6,Górnik Zabrze,GKS Katowice,3,0,H,1.6271960764290994,1.0682212192515494,0.5038077473644282,0.2468631675961166,0.24932908503945508,0.6855605373247231
6,Radomiak Radom,Bruk-Bet Termalica Nieciecza,1,1,D,1.4840687265536467,1.067440427255497,0.4677283844367289,0.2599039251059412,0.27236769045733,1.3474432350788161
6,Korona Kielce,Motor Lublin,2,0,H,1.4779376438791838,1.157832770328211,0.44528738352515596,0.2578761034744856,0.2968365130003585,0.8090353995841362
6,Raków Częstochowa,Lech Poznań,2,2,D,1.2248350710480695,1.062728317843533,0.3983845289571317,0.2834023238158108,0.3182131472270575,1.2608877519856716
6,Piast Gliwice,Cracovia,0,0,D,1.177136619147811,1.0122277992394666,0.3961160107510346,0.29084723977533833,0.31303674947362714,1.2349570988703702
6,Widzew Łódź,Pogoń Szczecin,1,2,A,1.19091438561735,1.395036006554177,0.3205984816770749,0.26310379833411407,0.41629771998881104,0.8763546016426836
7,Arka Gdynia,Wisła Płock,1,0,H,0.7798475283721832,1.22002748078076,0.23670884321093708,0.2982007364178764,0.46509042037118653,1.4409244027420967
7,Bruk-Bet Termalica Nieciecza,Korona Kielce,1,3,A,1.2211673659183997,1.1011749829569517,0.38878903033062506,0.2814174362087826,0.32979353346059237,1.1092884765061373
7,Zagłębie Lubin,Piast Gliwice,2,2,D,1.1061468065488325,1.0159499512766723,0.37440218913792855,0.29727501368977544,0.32832279717229607,1.2130975966076154
7,Górnik Zabrze,Motor Lublin,0,1,A,1.6689025158650164,1.1333470073648502,0.49871459036863147,0.24256257719648935,0.25872283243487904,1.3519979353357205
7,Pogoń Szczecin,Raków Częstochowa,2,0,H,1.3531659363391144,1.090295246663396,0.4276851502930991,0.27078128234809756,0.30153356735880354,0.8493679842652833
7,Cracovia,Legia Warszawa,2,1,H,1.3666907144022309,1.4030248063489783,0.36454615332094154,0.25435048604411553,0.38110336063494266,1.0091021146412418
7,GKS Katowice,Radomiak Radom,3,2,H,1.5303596427146273,1.2789947517656477,0.431734350292522,0.2500729742081541,0.31819267549932395,0.8399448097633712
7,Lech Poznań,Widzew Łódź,2,1,H,1.6611336181455867,0.8969651778057507,0.5540173343967553,0.24366285409307697,0.20231981151016765,0.5905593031995312
7,Jagiellonia Białystok,Lechia Gdańsk,2,0,H,2.449776341147598,1.167459993196953,0.6551211324403805,0.17958943367790536,0.16528943388171413,0.42293512542177686
8,Wisła Płock,Cracovia,0,0,D,1.3142740855607111,0.9817859565617765,0.4422994436108585,0.2789470582881933,0.2787534981009481,1.2767332704060252
8,Legia Warszawa,Radomiak Radom,4,1,H,1.9589346762476663,0.9896517809530004,0.5993967672510692,0.215281988116262,0.1853212446326687,0.511831517422311
8,Lechia Gdańsk,GKS Katowice,2,0,H,1.6165132683720664,1.4529382618970437,0.41606251192199384,0.23900829500757534,0.3449291930704309,0.8769197609668811
8,Motor Lublin,Bruk-Bet Termalica Nieciecza,1,1,D,1.7584316812640681,1.1047495211569067,0.5267815737392423,0.235000250933739,0.2382181753270188,1.4481686970354035
8,Korona Kielce,Pogoń Szczecin,1,0,H,1.2165176054299573,1.3007898863560214,0.3456508432439946,0.2686643265225436,0.385684830233462,1.0623261370046746
8,Lech Poznań,Zagłębie Lubin,1,2,A,1.815502043903203,0.9507244034171687,0.5770574188339282,0.228341280362238,0.19460130080383375,1.6368024247518862
8,Raków Częstochowa,Górnik Zabrze,0,1,A,1.376964394044251,0.882963496036977,0.48384899401377984,0.27542887764683643,0.24072212833938364,1.4241120051433367
8,Piast Gliwice,Jagiellonia Białystok,1,1,D,1.2186058721514712,1.3141514706913986,0.34355717391712176,0.26762061285086847,0.38882221323200983,1.318184925103924
8,Widzew Łódź,Arka Gdynia,2,0,H,1.4788950406801138,0.7028206902554222,0.5583889281052031,0.2643795501438557,0.17723152175094126,0.5826995556223777
9,Arka Gdynia,Korona Kielce,0,0,D,0.8811765665784642,1.289679195057521,0.2546318664260144,0.28555464179110024,0.45981349178288544,1.2533218783875564
9,Bruk-Bet Termalica Nieciecza,Lech Poznań,0,2,A,1.1170232984565183,1.5190802225814455,0.2792099982100832,0.2555982112106793,0.46519179057923743,0.7653055055715047
9,Zagłębie Lubin,Motor Lublin,2,2,D,1.5377878107533143,1.2898007743508713,0.4312457983206121,0.24921225807777045,0.31954194360161736,1.3894503035604335
9,Górnik Zabrze,Widzew Łódź,3,2,H,1.4338055410918178,0.9735340000521469,0.47691926665078543,0.2670562142460926,0.2560245191031221,0.7404080547230165
9,Radomiak Radom,Piast Gliwice,1,0,H,1.209057138299312,1.0177157495705367,0.4040933561551692,0.28748198798716934,0.30842465585766177,0.9061093481237605
9,Pogoń Szczecin,Lechia Gdańsk,3,4,A,2.1003685046975233,1.092557646037945,0.6048677246556087,0.20526400716315055,0.1898682681812408,1.6614247726447218
9,GKS Katowice,Cracovia,0,3,A,1.3634653334770055,1.3068458266246417,0.3832478907652521,0.25972205042591073,0.3570300588088371,1.029935302402898
9,Raków Częstochowa,Legia Warszawa,1,1,D,1.3289725568622823,1.1481346436585596,0.4081325783795976,0.27014718454726183,0.3217202370731406,1.3087883405592078
9,Wisła Płock,Jagiellonia Białystok,0,1,A,1.2988649748229262,1.2125265670613263,0.3860180324088859,0.26902070633463404,0.3449612612564802,1.064323154468447
10,Wisła Płock,GKS Katowice,1,1,D,1.462303643139479,0.9585274794446883,0.48815251444635094,0.2644477494209823,0.24739973613266686,1.3301115919204958
10,Legia Warszawa,Pogoń Szczecin,1,0,H,1.7973217255045275,1.2538267226583566,0.5016078250911119,0.23132880087827346,0.26706337403061464,0.6899366895237216
10,Motor Lublin,Radomiak Radom,2,2,D,1.6087100816397908,1.271919403375586,0.45266866426126506,0.24481243265359887,0.3025189030851359,1.4072629426499257
10,Zagłębie Lubin,Arka Gdynia,4,0,H,1.5481415399940646,0.7523794920024366,0.5631358272315076,0.25565060412809715,0.18121356864039567,0.5742344237561898
10,Korona Kielce,Lechia Gdańsk,3,0,H,1.64524710849703,1.1677774419760465,0.4850080740519971,0.24409804240476765,0.27089388354323507,0.7235897406533316
